year,genre,name,rating,budget,PF
2005,action,6,5.73,705000000,0.16
2005,comedy,15,4.85,1552500000,0.67
2005,drama,24,6.33,1564000000,0.13
2005,love_story,5,4.9,270000000,-0.38
2005,rom__com,4,5.78,237500000,0.76
2005,thriller,16,5.04,818000000,0
2006,action,5,5.24,1117500000,0.59
2006,comedy,12,5.43,1285000000,0.78
2006,drama,25,5.46,2078500000,-0.09
2006,love_story,11,5.14,980000000,-0.16
2006,rom__com,2,4.1,220000000,0
2006,thriller,6,4.6,420000000,-0.12
2007,action,4,4.35,473000000,0.2
2007,comedy,17,5.55,2402500000,0.75
2007,drama,27,6.19,2167000000,-0.15
2007,love_story,3,5.8,1190000000,0.46
2007,rom__com,6,5.48,892500000,0.81
2007,thriller,8,4.71,852500000,-0.46
2008,action,5,5.12,1290000000,0.66
2008,comedy,21,4.9,2427500000,-0.15
2008,drama,20,5.87,2449000000,-0.29
2008,love_story,7,5.3,1592500000,0.4
2008,rom__com,4,5.28,710000000,0.3
2008,thriller,7,5.66,965000000,-0.26
2009,action,3,5.13,1365000000,0.01
2009,comedy,14,4.81,2392500000,-0.27
2009,drama,21,6.27,3382500000,-0.1
2009,love_story,2,5.3,250000000,-0.66
2009,rom__com,2,4.8,672500000,-0.26
2009,thriller,12,5.78,2302500000,-0.4
2010,action,6,5.05,1774250000,0.44
2010,comedy,20,5.47,3557500000,-0.12
2010,drama,27,6.24,4077000000,-0.32
2010,love_story,4,4.48,555000000,0.11
2010,rom__com,10,5.68,1887500000,-0.01
2010,thriller,11,5.01,2707500000,-0.54
2011,action,5,5.48,3370000000,0.82
2011,comedy,22,4.62,3922500000,-0.1
2011,drama,34,5.72,4430000000,-0.48
2011,love_story,8,5.51,935000000,-0.47
2011,rom__com,4,6.43,537500000,0.36
2011,thriller,12,6.08,2047500000,0.42
2012,action,8,5.18,4175000000,0.66
2012,comedy,19,4.98,3877500000,0.11
2012,drama,25,6.04,2225500000,-0.37
2012,love_story,12,5.38,2235000000,-0.01
2012,rom__com,5,5.16,1610000000,0.49
2012,thriller,13,5.37,3140000000,0.62
2013,action,11,5.13,6160000000,0.35
2013,comedy,16,5.44,3477500000,0.26
2013,drama,32,6.06,4108500000,-0.29
2013,love_story,9,5.71,2490000000,0.9
2013,rom__com,3,5.63,550000000,0.33
2013,thriller,22,5.25,3510000000,-0.37
2014,action,9,5.07,6560000000,0.37
2014,comedy,12,4.06,2224000000,-0.52
2014,drama,30,6.13,5739500000,-0.3
2014,love_story,7,4.94,1085000000,-0.05
2014,rom__com,13,5.75,2834200000,0.18
2014,thriller,10,5.33,1648000000,0.08
2015,action,3,6.5,2630000000,0.33
2015,comedy,13,4.75,2904000000,0.27
2015,drama,24,6.01,8908500000,-0.2
2015,love_story,4,5.18,1022500000,-0.03
2015,rom__com,4,4.85,1560000000,1.19
2015,thriller,7,5.36,2455000000,0.52
2016,action,4,5.7,1890000000,0.89
2016,comedy,6,3.88,2260000000,0.03
2016,drama,17,6.64,7250000000,0.84
2016,love_story,7,5.61,1690000000,-0.32
2016,rom__com,4,5.18,1410000000,0.65
2016,thriller,10,5.57,3960000000,0.03
2017,action,5,5.56,4890000000,0.54
2017,comedy,8,5.9,3930000000,0.84
2017,drama,24,6.03,7649500000,0
2017,love_story,5,3.98,1740000000,0.39
2017,rom__com,4,6.38,1625000000,-0.07
2017,thriller,5,4.4,1695000000,-0.07
